count,geoid,place,region,state
43,3903828,"Barberton city, Ohio",Barberton,Ohio
4,4871540,"Sweetwater city, Texas",Sweetwater,Texas
12,3945976,"Macedonia city, Ohio",Macedonia,Ohio
31,3909680,"Brunswick city, Ohio",Brunswick,Ohio
87,3912000,"Canton city, Ohio",Canton,Ohio
4,4810780,"Brownwood city, Texas",Brownwood,Texas
1329,3901000,"Akron city, Ohio",Akron,Ohio
63,3974944,"Stow city, Ohio",Stow,Ohio
148,3976106,"Tallmadge city, Ohio",Tallmadge,Ohio
539,3919778,"Cuyahoga Falls city, Ohio",Cuyahoga Falls,Ohio
0,3903086,"Aurora city, Ohio",Aurora,Ohio
441,4801000,"Abilene city, Texas",Abilene,Texas
20,3980304,"Wadsworth city, Ohio",Wadsworth,Ohio
11,3978050,"Twinsburg city, Ohio",Twinsburg,Ohio
17,3931860,"Green city, Ohio",Green,Ohio
8,3936651,"Hudson city, Ohio",Hudson,Ohio
15,3965592,"Ravenna city, Ohio",Ravenna,Ohio
7,3901420,"Alliance city, Ohio",Alliance,Ohio
26,3948790,"Medina city, Ohio",Medina,Ohio
29,3975014,"Streetsboro city, Ohio",Streetsboro,Ohio
330,3939872,"Kent city, Ohio",Kent,Ohio
609,3665508,"Schenectady city, New York",Schenectady,New York
175,3678674,"Watervliet city, New York",Watervliet,New York
110,3616749,"Cohoes city, New York",Cohoes,New York
count,geoid,place,region,state
0,4868624,"Snyder city, Texas",Snyder,Texas
78,5340805,"Lynden city, Washington",Lynden,Washington
67,3948244,"Massillon city, Ohio",Massillon,Ohio
4,4871540,"Sweetwater city, Texas",Sweetwater,Texas
4,4810780,"Brownwood city, Texas",Brownwood,Texas
441,4801000,"Abilene city, Texas",Abilene,Texas
43,3903828,"Barberton city, Ohio",Barberton,Ohio
12,3945976,"Macedonia city, Ohio",Macedonia,Ohio
31,3909680,"Brunswick city, Ohio",Brunswick,Ohio
0,3903086,"Aurora city, Ohio",Aurora,Ohio
87,3912000,"Canton city, Ohio",Canton,Ohio
1329,3901000,"Akron city, Ohio",Akron,Ohio
63,3974944,"Stow city, Ohio",Stow,Ohio
148,3976106,"Tallmadge city, Ohio",Tallmadge,Ohio
539,3919778,"Cuyahoga Falls city, Ohio",Cuyahoga Falls,Ohio
11,3978050,"Twinsburg city, Ohio",Twinsburg,Ohio
17,3931860,"Green city, Ohio",Green,Ohio
8,3936651,"Hudson city, Ohio",Hudson,Ohio
15,3965592,"Ravenna city, Ohio",Ravenna,Ohio
7,3901420,"Alliance city, Ohio",Alliance,Ohio
26,3948790,"Medina city, Ohio",Medina,Ohio
29,3975014,"Streetsboro city, Ohio",Streetsboro,Ohio
20,3980304,"Wadsworth city, Ohio",Wadsworth,Ohio
330,3939872,"Kent city, Ohio",Kent,Ohio
609,3665508,"Schenectady city, New York",Schenectady,New York
175,3678674,"Watervliet city, New York",Watervliet,New York
110,3616749,"Cohoes city, New York",Cohoes,New York
count,geoid,place,region,state
0,4868624,"Snyder city, Texas",Snyder,Texas
78,5340805,"Lynden city, Washington",Lynden,Washington
67,3948244,"Massillon city, Ohio",Massillon,Ohio
43,3903828,"Barberton city, Ohio",Barberton,Ohio
539,3919778,"Cuyahoga Falls city, Ohio",Cuyahoga Falls,Ohio
4,4871540,"Sweetwater city, Texas",Sweetwater,Texas
4,4810780,"Brownwood city, Texas",Brownwood,Texas
87,3912000,"Canton city, Ohio",Canton,Ohio
1329,3901000,"Akron city, Ohio",Akron,Ohio
63,3974944,"Stow city, Ohio",Stow,Ohio
148,3976106,"Tallmadge city, Ohio",Tallmadge,Ohio
12,3945976,"Macedonia city, Ohio",Macedonia,Ohio
31,3909680,"Brunswick city, Ohio",Brunswick,Ohio
0,3903086,"Aurora city, Ohio",Aurora,Ohio
20,3980304,"Wadsworth city, Ohio",Wadsworth,Ohio
441,4801000,"Abilene city, Texas",Abilene,Texas
11,3978050,"Twinsburg city, Ohio",Twinsburg,Ohio
17,3931860,"Green city, Ohio",Green,Ohio
8,3936651,"Hudson city, Ohio",Hudson,Ohio
15,3965592,"Ravenna city, Ohio",Ravenna,Ohio
7,3901420,"Alliance city, Ohio",Alliance,Ohio
26,3948790,"Medina city, Ohio",Medina,Ohio
29,3975014,"Streetsboro city, Ohio",Streetsboro,Ohio
330,3939872,"Kent city, Ohio",Kent,Ohio
609,3665508,"Schenectady city, New York",Schenectady,New York
9,3543370,"Los Lunas village, New Mexico",Los Lunas,New Mexico
1,1302116,"Americus city, Georgia",Americus,Georgia
175,3678674,"Watervliet city, New York",Watervliet,New York
110,3616749,"Cohoes city, New York",Cohoes,New York
0,1376476,"Tifton city, Georgia",Tifton,Georgia
14,3602066,"Amsterdam city, New York",Amsterdam,New York
2426,3563460,"Rio Rancho city, New Mexico",Rio Rancho,New Mexico
3000,3502000,"Albuquerque city, New Mexico",Albuquerque,New Mexico
234,1301052,"Albany city, Georgia",Albany,Georgia
233,3675484,"Troy city, New York",Troy,New York
6,1319616,"Cordele city, Georgia",Cordele,Georgia
20,4221648,"Easton city, Pennsylvania",Easton,Pennsylvania
10,3458350,"Phillipsburg town, New Jersey",Phillipsburg,New Jersey
2,4233408,"Hazleton city, Pennsylvania",Hazleton,Pennsylvania
448,3601000,"Albany city, New York",Albany,New York
5,4223584,"Emmaus borough, Pennsylvania",Emmaus borough,Pennsylvania
69,4202000,"Allentown city, Pennsylvania",Allentown,Pennsylvania
66,4206088,"Bethlehem city, Pennsylvania",Bethlehem,Pennsylvania
0,4833320,"Hereford city, Texas",Hereford,Texas
14,4284512,"Whitehall borough, Pennsylvania",Whitehall borough,Pennsylvania
1,4809556,"Borger city, Texas",Borger,Texas
3,4854912,"Pampa city, Texas",Pampa,Texas
27,4236816,"Indiana borough, Pennsylvania",Indiana borough,Pennsylvania
0,4821556,"Dumas city, Texas",Dumas,Texas
593,1901855,"Ames city, Iowa",Ames,Iowa
1450,4803000,"Amarillo city, Texas",Amarillo,Texas
883,203000,"Anchorage municipality, Alaska",Anchorage,Alaska
2,1949755,"Marshalltown city, Iowa",Marshalltown,Iowa
28,1907480,"Boone city, Iowa",Boone,Iowa
23,4238288,"Johnstown city, Pennsylvania",Johnstown,Pennsylvania
6,2420875,"Crofton CDP, Maryland",Crofton,Maryland
1,2471200,"Severna Park CDP, Maryland",Severna Park,Maryland
0,2460475,"Pasadena CDP, Maryland",Pasadena,Maryland
172,4202184,"Altoona city, Pennsylvania",Altoona,Pennsylvania
4,2402275,"Arnold CDP, Maryland",Arnold,Maryland
1,2458300,"Odenton CDP, Maryland",Odenton,Maryland
23,2408775,"Bowie city, Maryland",Bowie,Maryland
13,2401600,"Annapolis city, Maryland",Annapolis,Maryland
934,2432650,"Glen Burnie CDP, Maryland",Glen Burnie,Maryland
1030,2603000,"Ann Arbor city, Michigan",Ann Arbor,Michigan
37,2688140,"Wixom city, Michigan",Wixom,Michigan
115,2659440,"Novi city, Michigan",Novi,Michigan
69,2669420,"Romulus city, Michigan",Romulus,Michigan
144,2675100,"South Lyon city, Michigan",South Lyon,Michigan
38,2684940,"Wayne city, Michigan",Wayne,Michigan
931,2689140,"Ypsilanti city, Michigan",Ypsilanti,Michigan
73,5526275,"Fond du Lac city, Wisconsin",Fond du Lac,Wisconsin
180,5502375,"Appleton city, Wisconsin",Appleton,Wisconsin
23,5550825,"Menasha city, Wisconsin",Menasha,Wisconsin
70,5544950,"Little Chute village, Wisconsin",Little Chute,Wisconsin
66,5555750,"Neenah city, Wisconsin",Neenah,Wisconsin
69,5538800,"Kaukauna city, Wisconsin",Kaukauna,Wisconsin
10,5584425,"Waupun city, Wisconsin",Waupun,Wisconsin
74,5560500,"Oshkosh city, Wisconsin",Oshkosh,Wisconsin
125,3730720,"Hendersonville city, North Carolina",Hendersonville,North Carolina
1,3918350,"Conneaut city, Ohio",Conneaut,Ohio
307,3702140,"Asheville city, North Carolina",Asheville,North Carolina
8,3902638,"Ashtabula city, Ohio",Ashtabula,Ohio
225,1331908,"Gainesville city, Georgia",Gainesville,Georgia
2,1352192,"Monroe city, Georgia",Monroe,Georgia
18,1383420,"Winder city, Georgia",Winder,Georgia
7,1341988,"Jefferson city, Georgia",Jefferson,Georgia
31,1347196,"Loganville city, Georgia",Loganville,Georgia
24,1321324,"Dallas city, Georgia",Dallas,Georgia
202,3902736,"Athens city, Ohio",Athens,Ohio
3000,1355776,"Norcross city, Georgia",Norcross,Georgia
160,1312988,"Canton city, Georgia",Canton,Georgia
11,1313492,"Carrollton city, Georgia",Carrollton,Georgia
1384,1303440,"Athens-Clarke County unified government (balance), Georgia",Athens-Clarke,Georgia
1431,1349756,"Marietta city, Georgia",Marietta,Georgia
539,1319336,"Conyers city, Georgia",Conyers,Georgia
804,1301696,"Alpharetta city, Georgia",Alpharetta,Georgia
15,3959416,"Painesville city, Ohio",Painesville,Ohio
3000,1304000,"Atlanta city, Georgia",Atlanta,Georgia
5,1346356,"Lilburn city, Georgia",Lilburn,Georgia
3,1363952,"Redan CDP, Georgia",Redan,Georgia
926,1369392,"Scottdale CDP, Georgia",Scottdale,Georgia
1387,1316544,"Clarkston city, Georgia",Clarkston,Georgia
70,1348288,"Mableton CDP, Georgia",Mableton,Georgia
15,1362524,"Powder Springs city, Georgia",Powder Springs,Georgia
28,1374936,"Suwanee city, Georgia",Suwanee,Georgia
802,1330536,"Forest Park city, Georgia",Forest Park,Georgia
7,1359724,"Peachtree City city, Georgia",Peachtree,Georgia
1413,1377652,"Tucker city, Georgia",Tucker,Georgia
412,1346832,"Lithia Springs CDP, Georgia",Lithia Springs,Georgia
1759,1365464,"Riverdale city, Georgia",Riverdale,Georgia
328,1378324,"Union City city, Georgia",Union,Georgia
878,1373704,"Stockbridge city, Georgia",Stockbridge,Georgia
259,1343192,"Kennesaw city, Georgia",Kennesaw,Georgia
281,1328380,"Fairburn city, Georgia",Fairburn,Georgia
37,1335324,"Griffin city, Georgia",Griffin,Georgia
139,1371604,"Snellville city, Georgia",Snellville,Georgia
389,1367284,"Roswell city, Georgia",Roswell,Georgia
179,1324600,"Duluth city, Georgia",Duluth,Georgia
262,1300408,"Acworth city, Georgia",Acworth,Georgia
34,1311784,"Buford city, Georgia",Buford,Georgia
1471,1371492,"Smyrna city, Georgia",Smyrna,Georgia
83,1328968,"Fayetteville city, Georgia",Fayetteville,Georgia
57,1379528,"Villa Rica city, Georgia",Villa Rica,Georgia
52,1320064,"Covington city, Georgia",Covington,Georgia
1130,1345488,"Lawrenceville city, Georgia",Lawrenceville,Georgia
2793,1322052,"Decatur city, Georgia",Decatur,Georgia
175,1355020,"Newnan city, Georgia",Newnan,Georgia
2,101132,"Alexander City city, Alabama",Alexander,Alabama
259,157048,"Opelika city, Alabama",Opelika,Alabama
308,1384176,"Woodstock city, Georgia",Woodstock,Georgia
240,1323900,"Douglasville city, Georgia",Douglasville,Georgia
4,1344340,"LaGrange city, Georgia",LaGrange,Georgia
311,4500550,"Aiken city, South Carolina",Aiken,South Carolina
61,1335716,"Grovetown city, Georgia",Grovetown,Georgia
247,1328044,"Evans CDP, Georgia",Evans,Georgia
73,4829336,"Georgetown city, Texas",Georgetown,Texas
1,671106,"Shafter city, California",Shafter,California
959,4550695,"North Augusta city, South Carolina",North Augusta,South Carolina
29,602924,"Arvin city, California",Arvin,California
4,678092,"Tehachapi city, California",Tehachapi,California
0,683542,"Wasco city, California",Wasco,California
47,662826,"Rosamond CDP, California",Rosamond,California
2152,1304204,"Augusta-Richmond County consolidated government (balance), Georgia",Augusta-Richmond,Georgia
3000,4805000,"Austin city, Texas",Austin,Texas
17,660704,"Ridgecrest city, California",Ridgecrest,California
3000,4863500,"Round Rock city, Texas",Round Rock,Texas
1005,4835624,"Hutto city, Texas",Hutto,Texas
0,618394,"Delano city, California",Delano,California
239,640088,"Lamont CDP, California",Lamont,California
1993,4842016,"Leander city, Texas",Leander,Texas
3000,4857176,"Pflugerville city, Texas",Pflugerville,Texas
647,4813552,"Cedar Park city, Texas",Cedar Park,Texas
4,609780,"California City city, California",California,California
768,603526,"Bakersfield city, California",Bakersfield,California
0,2471150,"Severn CDP, Maryland",Severn,Maryland
4,2460975,"Perry Hall CDP, Maryland",Perry Hall,Maryland
9,2425150,"Edgewood CDP, Maryland",Edgewood,Maryland
123,2461400,"Pikesville CDP, Maryland",Pikesville,Maryland
63,2414125,"Catonsville CDP, Maryland",Catonsville,Maryland
121,2460275,"Parkville CDP, Maryland",Parkville,Maryland
71,2464950,"Randallstown CDP, Maryland",Randallstown,Maryland
1232,2452300,"Middle River CDP, Maryland",Middle River,Maryland
0,2418250,"Cockeysville CDP, Maryland",Cockeysville,Maryland
690,2468400,"Rosedale CDP, Maryland",Rosedale,Maryland
187,2478425,"Towson CDP, Maryland",Towson,Maryland
266,2423975,"Dundalk CDP, Maryland",Dundalk,Maryland
116,2465600,"Reisterstown CDP, Maryland",Reisterstown,Maryland
2898,2220435,"Denham Springs city, Louisiana",Denham Springs,Louisiana
117,2459425,"Owings Mills CDP, Maryland",Owings Mills,Maryland
751,2425750,"Elkridge CDP, Maryland",Elkridge,Maryland
16,2419125,"Columbia CDP, Maryland",Columbia,Maryland
5,2262385,"Prairieville CDP, Louisiana",Prairieville,Louisiana
13,2400125,"Aberdeen city, Maryland",Aberdeen,Maryland
205,2229850,"Gonzales city, Louisiana",Gonzales,Louisiana
32,2232755,"Hammond city, Louisiana",Hammond,Louisiana
4,2283405,"Zachary city, Louisiana",Zachary,Louisiana
126,2203985,"Baker city, Louisiana",Baker,Louisiana
3000,2205000,"Baton Rouge city, Louisiana",Baton Rouge,Louisiana
1841,2426600,"Essex CDP, Maryland",Essex,Maryland
3000,2404000,"Baltimore city, Maryland",Baltimore,Maryland
696,2605920,"Battle Creek city, Michigan",Battle Creek,Michigan
37,2617020,"Coldwater city, Michigan",Coldwater,Michigan
87,4807000,"Beaumont city, Texas",Beaumont,Texas
7,4831328,"Groves city, Texas",Groves,Texas
19,4850580,"Nederland city, Texas",Nederland,Texas
0,4845120,"Lumberton city, Texas",Lumberton,Texas
6,4875476,"Vidor city, Texas",Vidor,Texas
16,2426000,"Ellicott City CDP, Maryland",Ellicott,Maryland
18,4858940,"Port Neches city, Texas",Port Neches,Texas
138,4858820,"Port Arthur city, Texas",Port Arthur,Texas
62,5305280,"Bellingham city, Washington",Bellingham,Washington
2,2725118,"Grand Rapids city, Minnesota",Grand Rapids,Minnesota
4,4161200,"Redmond city, Oregon",Redmond,Oregon
7,5323620,"Ferndale city, Washington",Ferndale,Washington
24,2705068,"Bemidji city, Minnesota",Bemidji,Minnesota
13,4105800,"Bend city, Oregon",Bend,Oregon
0,174352,"Sylacauga city, Alabama",Sylacauga,Alabama
2,4760280,"Portland city, Tennessee",Portland,Tennessee
0,2112160,"Campbellsville city, Kentucky",Campbellsville,Kentucky
17,2131114,"Glasgow city, Kentucky",Glasgow,Kentucky
4,129056,"Gardendale city, Alabama",Gardendale,Alabama
0,151096,"Moody city, Alabama",Moody,Alabama
15,125120,"Fairfield city, Alabama",Fairfield,Alabama
3,176944,"Trussville city, Alabama",Trussville,Alabama
28,161008,"Pleasant Grove city, Alabama",Pleasant Grove,Alabama
193,2108902,"Bowling Green city, Kentucky",Bowling Green,Kentucky
126,105980,"Bessemer city, Alabama",Bessemer,Alabama
9,111416,"Calera city, Alabama",Calera,Alabama
3000,107000,"Birmingham city, Alabama",Birmingham,Alabama
1,100820,"Alabaster city, Alabama",Alabaster,Alabama
8,5669845,"Sheridan city, Wyoming",Sheridan,Wyoming
0,158896,"Pell City city, Alabama",Pell,Alabama
71,158848,"Pelham city, Alabama",Pelham,Alabama
50,141968,"Leeds city, Alabama",Leeds,Alabama
0,3664309,"Rye city, New York",Rye,New York
177,134024,"Helena city, Alabama",Helena,Alabama
232,3006550,"Billings city, Montana",Billings,Montana
0,114104,"Chelsea city, Alabama",Chelsea,Alabama
12,3819620,"Dickinson city, North Dakota",Dickinson,North Dakota
120,3624526,"Endwell CDP, New York",Endwell,New York
73,5116608,"Christiansburg town, Virginia",Christiansburg,Virginia
804,3807200,"Bismarck city, North Dakota",Bismarck,North Dakota
1,5187410,"Woodlawn CDP (Fairfax County), Virginia",Woodlawn,Virginia
649,3638748,"Johnson City village, New York",Johnson,New York
18,5165392,"Radford city, Virginia",Radford,Virginia
19,3624515,"Endicott village, New York",Endicott,New York
142,5107784,"Blacksburg town, Virginia",Blacksburg,Virginia
66,1814734,"Columbus city, Indiana",Columbus,Indiana
1,1847448,"Martinsville city, Indiana",Martinsville,Indiana
720,3606607,"Binghamton city, New York",Binghamton,New York
0,1868832,"Seymour city, Indiana",Seymour,Indiana
804,3849900,"Mandan city, North Dakota",Mandan,North Dakota
521,1805860,"Bloomington city, Indiana",Bloomington,Indiana
0,1880504,"Washington city, Indiana",Washington,Indiana
9,1804114,"Bedford city, Indiana",Bedford,Indiana
47,1656260,"Nampa city, Idaho",Nampa,Idaho
1,1761015,"Pontiac city, Illinois",Pontiac,Illinois
5,1654730,"Mountain Home city, Idaho",Mountain Home,Idaho
34,3707080,"Boone town, North Carolina",Boone,North Carolina
445,1608830,"Boise City city, Idaho",Boise,Idaho
100,1652120,"Meridian city, Idaho",Meridian,Idaho
15,1644290,"Kuna city, Idaho",Kuna,Idaho
8,4154900,"Ontario city, Oregon",Ontario,Oregon
12,1612250,"Caldwell city, Idaho",Caldwell,Idaho
373,1706613,"Bloomington city, Illinois",Bloomington,Illinois
57,1623410,"Eagle city, Idaho",Eagle,Idaho
27,845970,"Longmont city, Colorado",Longmont,Colorado
28,3008950,"Bozeman city, Montana",Bozeman,Montana
136,4810768,"Brownsville city, Texas",Brownsville,Texas
0,824950,"Erie town, Colorado",Erie,Colorado
2,828360,"Frederick town, Colorado",Frederick,Colorado
2,826600,"Firestone town, Colorado",Firestone,Colorado
2,841835,"Lafayette city, Colorado",Lafayette,Colorado
19,846355,"Louisville city, Colorado",Louisville,Colorado
102,807850,"Boulder city, Colorado",Boulder,Colorado
458,809280,"Broomfield city, Colorado",Broomfield,Colorado
24,2707300,"Brainerd city, Minnesota",Brainerd,Minnesota
155,4832372,"Harlingen city, Texas",Harlingen,Texas
142,4865036,"San Benito city, Texas",San Benito,Texas
137,830835,"Golden city, Colorado",Golden,Colorado
1,1380956,"Waycross city, Georgia",Waycross,Georgia
2,1368040,"St. Simons CDP, Georgia",St. Simons,Georgia
62,1343640,"Kingsland city, Georgia",Kingsland,Georgia
202,1311560,"Brunswick city, Georgia",Brunswick,Georgia
1,2500135,"Abington CDP, Massachusetts",Abington,Massachusetts
30,3641135,"Lancaster village, New York",Lancaster,New York
46,2911242,"Cape Girardeau city, Missouri",Cape Girardeau,Missouri
959,3651055,"Niagara Falls city, New York",Niagara Falls,New York
39,3620313,"Depew village, New York",Depew,New York
0,2566035,"South Yarmouth CDP, Massachusetts",South Yarmouth,Massachusetts
14,1734358,"Herrin city, Illinois",Herrin,Illinois
4,1712164,"Centralia city, Illinois",Centralia,Illinois
11,1751180,"Mount Vernon city, Illinois",Mount Vernon,Illinois
16,1746916,"Marion city, Illinois",Marion,Illinois
533,1711163,"Carbondale city, Illinois",Carbondale,Illinois
528,1912000,"Cedar Rapids city, Iowa",Cedar Rapids,Iowa
1581,3611000,"Buffalo city, New York",Buffalo,New York
347,3674183,"Tonawanda CDP, New York",Tonawanda,New York
24,2260530,"Pineville city, Louisiana",Pineville,Louisiana
267,3653682,"North Tonawanda city, New York",North Tonawanda,New York
9,2200975,"Alexandria city, Louisiana",Alexandria,Louisiana
211,1949485,"Marion city, Iowa",Marion,Iowa
1,2253545,"Natchitoches city, Louisiana",Natchitoches,Louisiana
133,2656020,"Mount Pleasant city, Michigan",Mount Pleasant,Michigan
8,2965000,"St. Louis city, Missouri",St. Louis,Missouri
0,1248850,"Nocatee CDP, Florida",Nocatee,Florida
11,1202750,"Avon Park city, Florida",Avon Park,Florida
12,1264875,"Sebring city, Florida",Sebring,Florida
9,2608300,"Big Rapids city, Michigan",Big Rapids,Michigan
9,1238950,"Lake Wales city, Florida",Lake Wales,Florida
1,1718563,"Danville city, Illinois",Danville,Illinois
0,4281824,"Waynesboro borough, Pennsylvania",Waynesboro borough,Pennsylvania
753,4570270,"Summerville town, South Carolina",Summerville,South Carolina
308,1762783,"Rantoul village, Illinois",Rantoul,Illinois
1292,1712385,"Champaign city, Illinois",Champaign,Illinois
144,4529815,"Goose Creek city, South Carolina",Goose Creek,South Carolina
6,4548535,"Mount Pleasant town, South Carolina",Mount Pleasant,South Carolina
1085,1777005,"Urbana city, Illinois",Urbana,Illinois
11,4212536,"Chambersburg borough, Pennsylvania",Chambersburg borough,Pennsylvania
229,4539220,"Ladson CDP, South Carolina",Ladson,South Carolina
869,4513330,"Charleston city, South Carolina",Charleston,South Carolina
814,4550875,"North Charleston city, South Carolina",North Charleston,South Carolina
8,5471212,"St. Albans city, West Virginia",St. Albans,West Virginia
133,5414600,"Charleston city, West Virginia",Charleston,West Virginia
1669,3725580,"Gastonia city, North Carolina",Gastonia,North Carolina
660,4526890,"Fort Mill town, South Carolina",Fort Mill,South Carolina
248,4561405,"Rock Hill city, South Carolina",Rock Hill,South Carolina
12,3743920,"Monroe city, North Carolina",Monroe,North Carolina
112,3744960,"Mount Holly city, North Carolina",Mount Holly,North Carolina
139,3733560,"Indian Trail town, North Carolina",Indian Trail,North Carolina
3000,3741960,"Matthews town, North Carolina",Matthews,North Carolina
134,3716400,"Davidson town, North Carolina",Davidson,North Carolina
24,3714700,"Cornelius town, North Carolina",Cornelius,North Carolina
156,3704840,"Belmont city, North Carolina",Belmont,North Carolina
4,3735880,"Kings Mountain city, North Carolina",Kings Mountain,North Carolina
149,5114968,"Charlottesville city, Virginia",Charlottesville,Virginia
386,3729800,"Harrisburg town, North Carolina",Harrisburg,North Carolina
160,3744220,"Mooresville town, North Carolina",Mooresville,North Carolina
85,3714100,"Concord city, North Carolina",Concord,North Carolina
116,3735200,"Kannapolis city, North Carolina",Kannapolis,North Carolina
3000,3712000,"Charlotte city, North Carolina",Charlotte,North Carolina
0,3771460,"Waxhaw town, North Carolina",Waxhaw,North Carolina
5,5183680,"Waynesboro city, Virginia",Waynesboro,Virginia
1,3700680,"Albemarle city, North Carolina",Albemarle,North Carolina
498,3733120,"Huntersville town, North Carolina",Huntersville,North Carolina
10,4702320,"Athens city, Tennessee",Athens,Tennessee
44,4716300,"Collegedale city, Tennessee",Collegedale,Tennessee
7,4745500,"Manchester city, Tennessee",Manchester,Tennessee
978,4769560,"Soddy-Daisy city, Tennessee",Soddy-Daisy,Tennessee
55,4715400,"Cleveland city, Tennessee",Cleveland,Tennessee
3000,4714000,"Chattanooga city, Tennessee",Chattanooga,Tennessee
54,3621105,"Dunkirk city, New York",Dunkirk,New York
0,1704975,"Bellwood village, Illinois",Bellwood,Illinois
16,1717458,"Crest Hill city, Illinois",Crest Hill,Illinois
27,3638264,"Jamestown city, New York",Jamestown,New York
4,1727702,"Franklin Park village, Illinois",Franklin Park,Illinois
5,1764304,"River Forest village, Illinois",River Forest,Illinois
17,1726935,"Forest Park village, Illinois",Forest Park,Illinois
62,3627419,"Fredonia village, New York",Fredonia,New York
3,1750647,"Morton Grove village, Illinois",Morton Grove,Illinois
16,1743744,"Lincolnwood village, Illinois",Lincolnwood,Illinois
