	GeoID	Place Name	Indeed job count	Craigslist affordable house count	Population	Unemployment rate	Employment to population ratio	Number of people below the poverty level	Number of people with a bachelors degree or higher	Public transportation proportion	Simpsons diversity score	Affordable housing in market	Proportion of public transit to work under 30 minutes	SNAP-authorized Stores per 1000 people (2016)	Farmers Markets per 1000 people (2016)	Farmer Markets with SNAP per 1000 people (2016)	Farmer Markets with WIC per 1000 people (2016)	Farmer Markets with WIC Cash per 1000 people (2016)	Farmer Markets with SFMNP per 1000 people (2016)	Employment to population ratio percentage	Indeed job count normalized	Craigslist affordable house count normalized	Number of people below the poverty level normalized	Number of people with a bachelors degree or higher normalized	Population min_max_normalized	Unemployment rate min_max_normalized	Public transportation proportion min_max_normalized	Simpsons diversity score min_max_normalized	Affordable housing in market min_max_normalized	Proportion of public transit to work under 30 minutes min_max_normalized	SNAP-authorized Stores per 1000 people (2016) min_max_normalized	Farmers Markets per 1000 people (2016) min_max_normalized	Farmer Markets with SNAP per 1000 people (2016) min_max_normalized	Farmer Markets with WIC per 1000 people (2016) min_max_normalized	Farmer Markets with WIC Cash per 1000 people (2016) min_max_normalized	Farmer Markets with SFMNP per 1000 people (2016) min_max_normalized	Employment to population ratio percentage min_max_normalized	Indeed job count normalized min_max_normalized	Craigslist affordable house count normalized min_max_normalized	Number of people below the poverty level normalized min_max_normalized	Number of people with a bachelors degree or higher normalized min_max_normalized
3869	850480	Milliken town, Colorado	269.0		6362	0.6	75.7	124	597	0.0	0.1814236215561852	0								0.757	0.04228230116315624		0.019490726186733733	0.09383841559258095	4.2085229604153345e-05	0.020408163265306124	0.0	0.23874579990997108	0.0								0.8717616580310881	0.25538148245899006		0.052466084333517744	0.156658884904645
3874	851745	Montrose city, Colorado	15.0	5.0	18918	9.7	52.3	1981	2130	0.0075672645739910315	0.11940333995238606	198	0.778	0.383239653	0.0					0.523	0.000792895654931811	0.000264298551643937	0.10471508616132784	0.11259118300031716	0.0015099245154645683	0.3299319727891156	0.010745431505214781	0.15684544010188028	0.004900747487748131	0.7779999999999998	0.03550087523908085	0.0					0.5686528497409327	0.004431743989758122	0.0009136089357307245	0.28187715988084944	0.1888452419803264
3875	851745	Montrose city, Colorado	15.0	5.0	18918	9.7	52.3	1981	2130	0.0075672645739910315	0.11940333995238606	198	0.778	0.383239653	0.0					0.523	0.000792895654931811	0.000264298551643937	0.10471508616132784	0.11259118300031716	0.0015099245154645683	0.3299319727891156	0.010745431505214781	0.15684544010188028	0.004900747487748131	0.7779999999999998	0.03550087523908085	0.0					0.5686528497409327	0.004431743989758122	0.0009136089357307245	0.28187715988084944	0.1888452419803264
3876	851800	Monument town, Colorado	420.0		6760	4.8	69.4	74	2115	0.005285412262156448	0.16741109792003983	0	0.0							0.6940000000000001	0.0621301775147929		0.010946745562130178	0.3128698224852071	8.861278899985621e-05	0.163265306122449	0.007505226609233094	0.22024168000043842	0.0	0.0							0.7901554404145079	0.3754318740854868		0.02946698190399904	0.5325939626322458
3890	854330	Northglenn city, Colorado			38473	5.6	69.1	2236	4296	0.0491128010139417	0.18303822253871638	355	0.5009999999999999	0.6378907079999999	0.106315118	0.0	0.0	0.0	0.0	0.691			0.05811868063317131	0.11166272450809658	0.0037959708068790645	0.19047619047619047	0.06973963103370397	0.24087794762030493	0.008786693728033266	0.5009999999999998	0.07886487575942626	0.08483946416942974	0.0	0.0	0.0	0.0	0.7862694300518134			0.1564466900945032	0.18725168003233186
3902	856035	Orchard Mesa CDP, Colorado	50.0		6380	3.8	60.2	428	616	0.0	0.07037510830568383	64								0.602	0.007836990595611285		0.0670846394984326	0.09655172413793103	4.418949108436101e-05	0.1292517006802721	0.0	0.09210162229287883	0.0015840799960398								0.6709844559585493	0.04703813377679762		0.18058169406761487	0.1613158784991535
3915	857630	Parker town, Colorado	782.0	15.0	51125	3.5	75.0	1109	15244	0.022174126102580856	0.13664086706287204	52	0.12387612387612387	1.099016119	0.0					0.75	0.015295843520782396	0.000293398533007335	0.0216919315403423	0.2981711491442543	0.005275032820633921	0.11904761904761905	0.03148701236669093	0.17960831115056708	0.0012870649967823375	0.12387612387612384	0.1573889665492661	0.0					0.8626943005181348	0.0921531979220554	0.0010141997366936242	0.05839139592074966	0.5073658595792779
3932	862000	Pueblo city, Colorado	60.0	362.0	109122	10.3	49.2	14371	10284	0.017093365843746825	0.3951924325563544	1221	0.679	0.565309249	0.080999534	0.0	0.060749650499999995	0.0	0.080999534	0.49200000000000005	0.0005498432946610217	0.0033173878777881635	0.1316966331262257	0.0942431407048991	0.012055080213278592	0.3503401360544218	0.024272389325313032	0.5210364004026518	0.03022127617444681	0.6789999999999999	0.06650512949470559	0.06463762813613681	0.0	0.048478221102102606	0.0	0.06463762813613681	0.5284974093264249	0.0029616355247864237	0.011467316750623506	0.35450739976758255	0.1573535358166588
3933	862220	Pueblo West CDP, Colorado	81.0		30901	6.6	58.7	1438	4435	0.004273830420514386	0.16293212553580105	62	0.8211788211788212	0.512258706	0.03043121	0.0	0.03043121	0.0	0.03043121	0.5870000000000001	0.002621274392414485		0.04653571081842012	0.14352286333775605	0.002910778144205039	0.22448979591836735	0.006068791648488626	0.21432701079298375	0.0015345774961635563	0.821178821178821	0.057471262447672915	0.024284105581554184	0.0	0.024284105581554184	0.0	0.024284105581554184	0.6515544041450778	0.015490739903860278		0.12526708881587237	0.24193490531614578
3939	863375	Redlands CDP, Colorado	50.0		9367	6.0	54.0	195	1918	0.0013865779256794233	0.029874446539364774	0	1.0							0.54	0.005337888331376108		0.02081776449236682	0.2047613963915875	0.00039337999338326667	0.20408163265306123	0.001968925228046175	0.038618814969989666	0.0	0.9999999999999998							0.5906735751295337	0.03192224932544381		0.05603827056147593	0.3470418076098525
3944	864255	Rifle city, Colorado	12.0		9526	9.1	66.7	701	879	0.012036818503658248	0.2001777065637672	52	0.0							0.667	0.0012597102666386732		0.07358807474280915	0.09227377703128281	0.0004119676364584344	0.30952380952380953	0.017092148359172048	0.26351134869939163	0.0012870649967823375	0.0							0.7551813471502592	0.007255284199275732		0.1980879572370844	0.15397341377745835
3950	866197	Roxborough Park CDP, Colorado	815.0		9588	3.4	72.9	38	3095	0.01832460732984293	0.048501251827975156	0	0.0							0.7290000000000001	0.08500208594075928		0.003963287442636629	0.32279933249895704	0.0004192156482235941	0.11564625850340136	0.026020738537351595	0.06321628559996806	0.0	0.0							0.8354922279792748	0.5137732016480306		0.010668569821932924	0.5496365008315552
3962	868847	Security-Widefield CDP, Colorado	393.0		37325	9.2	54.8	1732	4404	0.0067135756245561935	0.28994209924375647	17	0.8170000000000001							0.5479999999999999	0.010529135967849967		0.046403215003348965	0.11799062290689886	0.0036617656858080423	0.3129251700680272	0.009533202694761975	0.3820489604021339	0.00042077124894807186	0.8169999999999998							0.6010362694300517	0.06332164444196076		0.12491043013929147	0.19811258354454953
3970	869645	Sheridan city, Colorado			6018	7.6	63.0	631	641	0.05664488017429194	0.3859214731391917	73	0.769							0.63			0.10485211033565969	0.10651379195746095	1.870454649073482e-06	0.2585034013605442	0.08043509964300531	0.5087937131333098	0.0018068412454828968	0.7689999999999998							0.7072538860103628			0.28224600821504436	0.17841429736608125
3972	869810	Sherrelwood CDP, Colorado			18616	5.6	65.6	1311	1408	0.03483885610531094	0.1616904516325285	119	0.446	0.5941629429999999	0.142599106	0.0	0.0	0.0	0.04753303532858003	0.6559999999999999			0.07042329179200688	0.07563386334336054	0.0014746196839633063	0.19047619047619047	0.04947078806869482	0.21268732879198957	0.002945398742636503	0.4459999999999999	0.07141856526126814	0.11379408659528283	0.0	0.0	0.0	0.03793136219463448	0.7409326424870466			0.1895688406273047	0.12541345822406952
3986	873825	Steamboat Springs city, Colorado	9.0	1.0	12520	3.6	73.3	877	4387	0.063933626159102	0.1007091143890968	641	0.86	0.7976780840000001	0.115326952	0.0	0.0	0.0	0.0	0.733	0.000718849840255591	7.987220447284345e-05	0.07004792332268371	0.35039936102236424	0.0007619764626663097	0.12244897959183675	0.0907850378502509	0.13215893819678073	0.015865551210336122	0.8599999999999998	0.10607473693988999	0.09203090770188999	0.0	0.0	0.0	0.0	0.8406735751295337	0.0039838759714020825	0.00027609670680756943	0.1885584055322256	0.5970078756285839
3987	873935	Sterling city, Colorado	3.0	4.0	13961	8.1	56.6	1476	1258	0.002918110523436075	0.10169355202016994	235	1.0	0.998225377	0.221827862	0.0	0.0	0.0	0.0	0.5660000000000001	0.00021488432060740636	0.0002865124274765418	0.10572308573884392	0.09010815844137239	0.0009304342844984901	0.2755102040816327	0.004143684477744013	0.13345892900798942	0.005816543735458641	0.9999999999999998	0.14022551993195678	0.1770186338873292	0.0	0.0	0.0	0.0	0.6243523316062176	0.0009356275377591269	0.0009903963238251613	0.28459054214970025	0.15025644914450315
3988	874080	Stonegate CDP, Colorado	875.0		9379	2.8	72.8	161	3192	0.023065476190476192	0.10047425086270101	0	0.172							0.728	0.0932935280946796		0.017166009169421046	0.3403347904893912	0.0003947828343700718	0.09523809523809523	0.0327527195747574	0.13184879114778	0.0	0.17199999999999996							0.8341968911917098	0.5639242032006223		0.046208298045138776	0.5797335259849141
3996	875640	Superior town, Colorado	830.0		12879	3.2	75.2	438	5759	0.017086927670869275	0.330068627154919	66	0.18481518481518483	1.069497919	0.11667249999999997	0.0	0.0	0.0	0.0	0.752	0.06444599736004349		0.03400885161891451	0.44716204674275956	0.000803944788854896	0.108843537414966	0.024263247191455017	0.4350377084179491	0.0016335824959160439	0.1848151848151848	0.15236237343281636	0.09310465500595869	0.0	0.0	0.0	0.0	0.8652849740932643	0.38943917010211176		0.09154668020212316	0.7630867420957146
4001	877235	The Pinery CDP, Colorado	672.0		11720	2.6	72.4	68	3795	0.00995575221238938	0.05170489375197096	0	0.14814814814814814	0.610500611	0.305250305	0.0	0.0	0.0	0.0	0.7240000000000001	0.05733788395904437		0.005802047781569966	0.32380546075085326	0.0006684537302126356	0.08843537414965986	0.01413705737854216	0.06744682792397241	0.0	0.1481481481481481	0.07420067289342867	0.24358974340558975	0.0	0.0	0.0	0.0	0.829015544041451	0.3464455630079641		0.015618234297608936	0.5513633714568531
4002	877290	Thornton city, Colorado			132310	4.3	70.5	6066	20638	0.03318778664321166	0.20868644233052158	451	0.41141141141141147	0.722724987	0.0					0.705			0.04584687476381226	0.15598216310180638	0.014765836613448335	0.14625850340136054	0.047126287801541794	0.27474748795559367	0.011162813722092966	0.41141141141141135	0.09331112935417037	0.0					0.8044041450777202			0.12341284643481516	0.2633194541882894
4008	878610	Trinidad city, Colorado	8.0		8054	9.0	56.7	907	675	0.013061968408262455	0.22116402898404708	316	1.0							0.5670000000000001	0.0009932952570151478		0.11261484976409238	0.0838092873106531	0.00023988580874367407	0.30612244897959184	0.018547849818370828	0.29122465977800877	0.007821394980446513	0.9999999999999998							0.6256476683937824	0.005643866147598694		0.3031421276109695	0.13944536665310533
4009	879100	Twin Lakes CDP (Adams County), Colorado			6767	4.7	61.6	622	663	0.020924422236102434	0.26555014343687056	36	0.16399999999999998							0.616			0.09191665435200236	0.09797546918870992	8.943111290882586e-05	0.1598639455782313	0.0297124467799133	0.34983836887710873	0.0008910449977723875	0.16399999999999995							0.689119170984456			0.2474257189128937	0.16375952671345378
4026	883120	Welby CDP, Colorado			16002	4.5	67.3	1096	818	0.06812141558259896	0.20330756458205934	33	0.5990000000000001	1.073170732	0.0					0.6729999999999999			0.06849143857017873	0.051118610173728284	0.0011690341556709262	0.15306122448979592	0.09673165224022674	0.2676444563089943	0.0008167912479580219	0.599	0.15298780914853774	0.0					0.7629533678756476			0.18436858420353933	0.08333664496433703
4028	883230	Wellington town, Colorado	191.0		7941	1.6	74.0	145	1462	0.013523666416228399	0.12775972405894742	0	0.667							0.74	0.02405238634932628		0.01825966502959325	0.18410779498803678	0.0002266757227845926	0.054421768707483	0.019203455853046	0.16788039265811092	0.0	0.6669999999999999							0.8497409326424871	0.1451173728915453		0.04915225406000989	0.31159294957094574
4031	883835	Westminster city, Colorado		177.0	111895	5.2	67.8	5431	23573	0.046742131923998315	0.22088764861176413	820	0.47852147852147847	0.613132377	0.032412284	0.0	0.0	0.0	0.032412284	0.6779999999999999		0.0015818401179677375	0.048536574467134365	0.21067071808391796	0.01237925338464614	0.17687074829931973	0.06637330730094179	0.29085968800831463	0.020296024949259937	0.47852147852147836	0.0746488308725638	0.025865002633655362	0.0	0.0	0.0	0.025865002633655362	0.7694300518134715		0.005467995407782708	0.1306531108618218	0.3571842859933872
4034	884440	Wheat Ridge city, Colorado		51.0	31162	4.8	62.9	2229	6412	0.05343047965998786	0.12797549701378552	150	0.4954954954954955	0.743833381	0.575871005	0.0	0.0	0.0	0.0	0.629		0.0016366086900712407	0.0715294268660548	0.20576342981836854	0.0029412899356680506	0.163265306122449	0.07587068667461283	0.16816532981384633	0.0037126874907182812	0.4954954954954954	0.0969056340319525	0.4595450620194109	0.0	0.0	0.0	0.0	0.705958549222798		0.005657315616159721	0.19254638879679062	0.3487616500722956
4038	885485	Windsor town, Colorado	253.0	8.0	23386	3.8	67.4	612	5663	0.0027692895339954163	0.07243287236236695	21	0.0	0.7444168729999999	0.0					0.674	0.010818438381937912	0.00034208500812451896	0.0261695031215257	0.24215342512614385	0.0020322489762183383	0.1292517006802721	0.0039323603284511215	0.09481898526325562	0.0005197762487005594	0.0	0.09700499567564023	0.0					0.7642487046632125	0.06507149754938828	0.0011824957732765823	0.07044434078986532	0.4112197053284621
4041	886090	Woodland Park city, Colorado	375.0		7287	7.8	61.7	434	1582	0.00561973150171714	0.038950186849785795	63	1.0							0.617	0.051461506792918894		0.059558117195004805	0.21709894332372717	0.00015022088900371402	0.2653061224489796	0.007979956209929511	0.05060370729435382	0.001559328746101678	0.9999999999999998							0.6904145077720207	0.3109021442743929		0.16032143541298746	0.36821738571850043
4042	886117	Woodmoor CDP, Colorado	430.0		9264	6.3	61.5	191	3280	0.0	0.09258358226535368	0								0.615	0.04641623488773748		0.020617443868739205	0.3540587219343696	0.00038133894157985613	0.2142857142857143	0.0	0.12142883527951186	0.0								0.6878238341968912	0.2803856871306419		0.05549903776777207	0.6032886284594438
4047	901150	Ansonia city, Connecticut	130.0	3.0	18953	10.4	56.2	1828	2192	0.02870249017038008	0.3395517995675049	376	0.30669330669330674	0.60466139	0.164907652	0.0	0.0	0.0	0.0	0.562	0.00685907244235741	0.00015828628713132487	0.09644911095868727	0.11565451379728803	0.0015140161350094166	0.35374149659863946	0.04075721671143531	0.44756063176864486	0.009306469976733825	0.3066933066933067	0.0732063240481729	0.13159630630442215	0.0	0.0	0.0	0.0	0.6191709844559585	0.041123170624223	0.000547153079074147	0.2596264059620093	0.19410299710139514
4050	904790	Bethel CDP, Connecticut	138.0		9780	5.9	72.6	168	2378	0.03109624089746113	0.25423155691347366	174	0.12012012012012013							0.726	0.01411042944785276		0.01717791411042945	0.24314928425357873	0.0004416611040124759	0.20068027210884357	0.04415631611213746	0.3348917049018128	0.004306717489233206	0.1201201201201201							0.8316062176165803	0.08498319035179822		0.04624034434412981	0.4129289505174934
4053	907345	Branford Center CDP, Connecticut	113.0		6355	7.6	62.8	151	1159	0.02954614681693573	0.12325143583136389	54	0.701							0.628	0.017781274586939417		0.023760818253343825	0.18237608182533438	4.1266905695183694e-05	0.2585034013605442	0.041955199763414386	0.16192701066096996	0.0013365674966585813	0.7009999999999998							0.7046632124352332	0.1071863917795034		0.06396052575823688	0.30862071955307635
4054	908000	Bridgeport city, Connecticut	166.0	62.0	147586	13.8	58.4	16321	14861	0.128097754077176	0.6548933157966835	2303	0.46546546546546547	0.423280423	0.119047619	0.0	0.0	0.0	0.0	0.584	0.0011247679319176616	0.00042009404686081333	0.1105863699808925	0.10069383274836366	0.016551653189651242	0.46938775510204084	0.18189738563378707	0.8639822115122716	0.05700212860749468	0.46546546546546536	0.04231933499812261	0.09499999996808	0.0	0.0	0.0	0.0	0.6476683937823833	0.006439082010021595	0.0014521520177544459	0.29768176711159317	0.16842519649382132
4055	908420	Bristol city, Connecticut	164.0	172.0	60498	6.9	62.8	3214	9779	0.012923335551430673	0.21206413105125832	772	0.6669999999999999	0.762388818	0.254129606	0.0	0.0	0.0	0.0	0.628	0.0027108334159806936	0.0028430691923699955	0.05312572316440213	0.1616417071638732	0.00637076853474428	0.23469387755102042	0.018350992704034133	0.2792078663091664	0.019107964952230088	0.6669999999999998	0.10006540095191771	0.20279542560097893	0.0	0.0	0.0	0.0	0.7046632124352332	0.016032439965989263	0.009827724756317435	0.14300640443657767	0.27303322614026737
4056	908420	Bristol city, Connecticut	164.0	172.0	60498	6.9	62.8	3214	9779	0.012923335551430673	0.21206413105125832	772	0.6669999999999999	0.762388818	0.254129606	0.0	0.0	0.0	0.0	0.628	0.0027108334159806936	0.0028430691923699955	0.05312572316440213	0.1616417071638732	0.00637076853474428	0.23469387755102042	0.018350992704034133	0.2792078663091664	0.019107964952230088	0.6669999999999998	0.10006540095191771	0.20279542560097893	0.0	0.0	0.0	0.0	0.7046632124352332	0.016032439965989263	0.009827724756317435	0.14300640443657767	0.27303322614026737
4063	914200	Cheshire Village CDP, Connecticut	177.0		6251	5.3	61.5	139	2175	0.014119308153900459	0.19090659694484635	137	0.0							0.615	0.02831546952487602		0.02223644216925292	0.3479443289073748	2.9108950476206062e-05	0.18027210884353742	0.020049260493708455	0.2512684630823847	0.003390921241522697	0.0							0.6878238341968912	0.17090274134578162		0.059857136104220415	0.5927941754014528
4068	916960	Conning Towers Nautilus Park CDP, Connecticut	118.0		9515	9.3	28.6	340	1000	0.007546030787805615	0.31030856519870564	105	0.44							0.28600000000000003	0.012401471361008934		0.03573305307409354	0.10509721492380451	0.0004106816988871964	0.3163265306122449	0.01071527976506868	0.4089437252531756	0.002598881243502797	0.4399999999999999							0.2616580310880829	0.07464651332075894		0.09618796950497989	0.17598295199506864
4069	917520	Cos Cob CDP, Connecticut	461.0		6840	6.5	62.7	251	2542	0.225	0.23612729242452457	0	0.004995004995004995							0.627	0.06739766081871346		0.03669590643274854	0.3716374269005848	9.796506224522363e-05	0.22108843537414968	0.31949749675505285	0.3109842711178465	0.0	0.004995004995004994							0.7033678756476685	0.40729238260127826		0.09877982498701875	0.6334598806628516
4072	918430	Danbury city, Connecticut	128.0	5.0	84573	7.5	65.9	5103	14582	0.04630671614988627	0.5254690295425526	220	0.40440440440440445	0.822991792	0.129946072	0.0	0.0	0.0	0.0	0.659	0.0015134853913187423	5.912052309838837e-05	0.06033840587421518	0.17241909356413987	0.009185218264522035	0.25510204081632654	0.06575502174593528	0.6930720618319878	0.0054452749863868125	0.40440440440440434	0.11038535582534433	0.10369696546263661	0.0	0.0	0.0	0.0	0.744818652849741	0.008790249581120884	0.0002043637312872175	0.16242185441511808	0.29153101899821504
4074	918920	Darien CDP, Connecticut	338.0	4.0	21742	6.2	58.0	457	8910	0.31672955974842765	0.13896765389382904	0	0.045	0.7829777059999999	0.031642566000000004	0.012657026400000002	0.014766530801054754	0.006328513200000001	0.014766530801054754	0.58	0.015545947934872597	0.00018397571520559287	0.021019225462238986	0.4098059056204581	0.001840059761026038	0.2108843537414966	0.449752451057567	0.1826809298766393	0.0	0.04499999999999999	0.10357144002937343	0.025250767669616054	0.028047970496566026	0.01178369157999585	0.014023985248283013	0.01178369157999585	0.6424870466321243	0.09366596091629725	0.0006359545155424099	0.056580572994641275	0.6989704401660098
4076	919480	Derby city, Connecticut	131.0	6.0	12700	9.9	61.3	596	1821	0.010850231234436144	0.2583862577035423	222	1.0	0.762388818	0.254129606	0.0	0.0	0.0	0.0	0.613	0.010314960629921259	0.00047244094488188977	0.04692913385826772	0.14338582677165354	0.0007830190774683864	0.33673469387755106	0.015407207638292598	0.340378159990413	0.005494777486263056	0.9999999999999998	0.10006540095191771	0.20279542560097893	0.0	0.0	0.0	0.0	0.6852331606217616	0.06202619939083525	0.0016331011508176861	0.12632612408165136	0.24169970227901
4080	922700	East Hartford CDP, Connecticut	160.0	390.0	50812	9.7	61.6	3537	5532	0.04707135250266241	0.6185782194210833	664	0.5614385614385614	0.822991792	0.129946072	0.0	0.0	0.0	0.0	0.616	0.003148862473431473	0.007675352278989215	0.06960954105329449	0.10887192001889318	0.00523844205156142	0.3299319727891156	0.06684079685989036	0.8160266172660667	0.016434829958912926	0.5614385614385613	0.11038535582534433	0.10369696546263661	0.0	0.0	0.0	0.0	0.689119170984456	0.018681870008736133	0.026531626387467526	0.1873783468265757	0.1824616760897213
4081	922700	East Hartford CDP, Connecticut	160.0	388.0	50812	9.7	61.6	3537	5532	0.04707135250266241	0.6185782194210833	664	0.5614385614385614	0.822991792	0.129946072	0.0	0.0	0.0	0.0	0.616	0.003148862473431473	0.007635991498071322	0.06960954105329449	0.10887192001889318	0.00523844205156142	0.3299319727891156	0.06684079685989036	0.8160266172660667	0.016434829958912926	0.5614385614385613	0.11038535582534433	0.10369696546263661	0.0	0.0	0.0	0.0	0.689119170984456	0.018681870008736133	0.026395566764967692	0.1873783468265757	0.1824616760897213
4082	922980	East Haven CDP, Connecticut	116.0	16.0	29006	6.5	59.2	1370	4057	0.028532505865435556	0.2591406195707451	310	0.48300000000000004	0.822991792	0.129946072	0.0	0.0	0.0	0.0	0.5920000000000001	0.003999172584982417	0.0005516100117217127	0.047231607253671655	0.1398676135971868	0.0026892461717053988	0.22108843537414968	0.0405158408895801	0.3413743261920451	0.007672887480817781	0.48299999999999993	0.11038535582534433	0.10369696546263661	0.0	0.0	0.0	0.0	0.6580310880829017	0.023824992632393724	0.0019067673001341894	0.12714033667280203	0.23566120870418766
4088	931270	Glastonbury Center CDP, Connecticut	160.0		7451	9.0	59.5	208	2132	0.019553072625698324	0.17775733920225234	0	0.686							0.595	0.021473627700979735		0.027915716011273656	0.28613608911555494	0.0001693930491567172	0.30612244897959184	0.027765145590134946	0.233904321668009	0.0	0.6859999999999999							0.6619170984455959	0.12951968474801298		0.07514488154242849	0.48670945558894335
4090	933690	Greenwich CDP, Connecticut	535.0	0.0	13399	4.8	61.2	482	4593	0.24916943521594684	0.302317656451191	0	0.185	0.681625585	0.110533879	0.0	0.0	0.0	0.0	0.612	0.03992835286215389	0.0	0.03597283379356669	0.3427867751324726	0.0008647345649497841	0.163265306122449	0.35381782586384586	0.39839139810000485	0.0	0.18499999999999997	0.08631239734532838	0.08820603544764519	0.0	0.0	0.0	0.0	0.6839378238341969	0.2411435654951152	0.0	0.09683342290311918	0.583941995676366
4091	934180	Groton city, Connecticut	116.0		9184	6.9	63.8	669	1389	0.02725839152962379	0.3732186201126816	299	0.562							0.638	0.012630662020905924		0.07284407665505227	0.15124128919860627	0.0003719866683344887	0.23469387755102042	0.038706612707928606	0.4920190677018911	0.007400623731498441	0.5619999999999999							0.7176165803108808	0.07603277893378006		0.19608522701337433	0.2551824439550036
4094	937000	Hartford city, Connecticut	175.0	482.0	124390	16.0	51.6	19198	10876	0.17264719517848864	0.6683940147709715	3972	0.6299999999999999	1.116544417	0.097799511	0.0	0.097799511	0.097799511	0.0	0.516	0.0014068655036578502	0.0038749095586461933	0.1543371653669909	0.08743468124447303	0.013839961562156961	0.54421768707483	0.24515709636136954	0.8818104456811918	0.09831196475422009	0.6299999999999998	0.16037382409714773	0.07804400978299482	0.0	0.07804400978299482	0.21672371633092147	0.0	0.5595854922279793	0.008145356442827642	0.013394519099358715	0.4154522851720179	0.14566782017992716
4095	937000	Hartford city, Connecticut	175.0	482.0	124390	16.0	51.6	19198	10876	0.17264719517848864	0.6683940147709715	3972	0.6299999999999999	1.116544417	0.097799511	0.0	0.097799511	0.097799511	0.0	0.516	0.0014068655036578502	0.0038749095586461933	0.1543371653669909	0.08743468124447303	0.013839961562156961	0.54421768707483	0.24515709636136954	0.8818104456811918	0.09831196475422009	0.6299999999999998	0.16037382409714773	0.07804400978299482	0.0	0.07804400978299482	0.21672371633092147	0.0	0.5595854922279793	0.008145356442827642	0.013394519099358715	0.4154522851720179	0.14566782017992716
4100	940150	Kensington CDP, Connecticut	180.0		8433	4.6	58.3	145	1865	0.004981646565285789	0.07462612655630663	52	1.0							0.583	0.021344717182497332		0.01719435550812285	0.22115498636309736	0.0002841922032436022	0.1564625850340136	0.0070738826992320725	0.09771526859169603	0.0012870649967823375	0.9999999999999998							0.6463730569948186	0.12873996615472827		0.04628460209777524	0.37517898486496265
4106	944690	Manchester CDP, Connecticut	152.0	96.0	30021	10.0	64.8	2290	4856	0.027510124284317834	0.45678172899704916	294	0.403	0.7829777059999999	0.031642566000000004	0.012657026400000002	0.014766530801054754	0.006328513200000001	0.014766530801054754	0.648	0.005063122480930016	0.003197761566903168	0.07627993737716932	0.16175343925918523	0.0028079031385059975	0.3401360544217687	0.039064070418933054	0.602367626388428	0.007276867481807832	0.4029999999999999	0.10357144002937343	0.025250767669616054	0.028047970496566026	0.01178369157999585	0.014023985248283013	0.01178369157999585	0.7305699481865285	0.030260320997836068	0.011053800800977776	0.20533404394701488	0.2732249977885972
4107	944690	Manchester CDP, Connecticut	152.0	96.0	30021	10.0	64.8	2290	4856	0.027510124284317834	0.45678172899704916	294	0.403	0.7829777059999999	0.031642566000000004	0.012657026400000002	0.014766530801054754	0.006328513200000001	0.014766530801054754	0.648	0.005063122480930016	0.003197761566903168	0.07627993737716932	0.16175343925918523	0.0028079031385059975	0.3401360544217687	0.039064070418933054	0.602367626388428	0.007276867481807832	0.4029999999999999	0.10357144002937343	0.025250767669616054	0.028047970496566026	0.01178369157999585	0.014023985248283013	0.01178369157999585	0.7305699481865285	0.030260320997836068	0.011053800800977776	0.20533404394701488	0.2732249977885972
4110	946450	Meriden city, Connecticut	188.0	12.0	60241	7.3	59.5	3853	8763	0.02071949833143863	0.28888843091680194	1553	0.7942057942057942	0.822991792	0.129946072	0.0	0.0	0.0	0.0	0.595	0.0031207981275211236	0.00019919988048007172	0.06395976162414302	0.14546571272057238	0.006340724356943537	0.24829931972789115	0.029421457115178382	0.38065754757935366	0.03843869115390327	0.794205794205794	0.11038535582534433	0.10369696546263661	0.0	0.0	0.0	0.0	0.6619170984455959	0.01851212208923133	0.0006885803560825555	0.17216999588286416	0.24526951948908093
4111	947290	Middletown city, Connecticut	183.0	10.0	46747	6.1	62.1	2961	9740	0.02482725756492733	0.363609289864519	782	0.5089820359281437	0.681625585	0.110533879	0.0	0.0	0.0	0.0	0.621	0.003914689712708837	0.00021391747063982715	0.06334096305645281	0.20835561640319164	0.0047632296672811885	0.20748299319727892	0.03525442952572102	0.47932954768540864	0.019355477451611307	0.5089820359281436	0.08631239734532838	0.08820603544764519	0.0	0.0	0.0	0.0	0.6955958549222798	0.02331399580217928	0.0007394551028367101	0.17050428381411672	0.3532107557009127
4112	947290	Middletown city, Connecticut	183.0	10.0	46747	6.1	62.1	2961	9740	0.02482725756492733	0.363609289864519	782	0.5089820359281437	0.681625585	0.110533879	0.0	0.0	0.0	0.0	0.621	0.003914689712708837	0.00021391747063982715	0.06334096305645281	0.20835561640319164	0.0047632296672811885	0.20748299319727892	0.03525442952572102	0.47932954768540864	0.019355477451611307	0.5089820359281436	0.08631239734532838	0.08820603544764519	0.0	0.0	0.0	0.0	0.6955958549222798	0.02331399580217928	0.0007394551028367101	0.17050428381411672	0.3532107557009127
4113	947515	Milford city (balance), Connecticut	123.0	4.0	52331	5.9	63.1	1727	13736	0.052881619937694704	0.18277540869085007	158	0.16	0.641148939	0.021371631	0.0	0.0	0.0	0.0	0.631	0.002350423267279433	7.643652901721733e-05	0.03300147140318358	0.2624830406451243	0.0054160183398078345	0.20068027210884357	0.07509131197531356	0.24053089101001246	0.003910697490223256	0.15999999999999998	0.07941971316537931	0.017054561539091493	0.0	0.0	0.0	0.0	0.7085492227979275	0.013852489893185509	0.00026422050174701564	0.08883496516143727	0.44611248942150644
