,0,Cluster 1 Standard Dev,Cluster 2 Mean,Cluster 2 Standard Deviation,Cluster 3 Mean,Cluster 3 Standard Deviation
Public transportation proportion min_max_normalized,0.03337812543089513,0.03994598512590675,0.01470194832941378,0.018317334663289785,0.11558200929270716,0.07232191184518032
Simpsons diversity score min_max_normalized,0.27522247176801173,0.1688389164385219,0.2563993611589812,0.16903556105979994,0.37841063026972555,0.20462627500569106
Affordable housing in market min_max_normalized,0.002358633441099272,0.0043818642558496315,0.006064950029976516,0.00851353716193073,0.00022472823619314628,0.00048019570942972026
Proportion of public transit to work under 30 minutes min_max_normalized,0.23913153509040774,0.20866214713648287,0.827840045381804,0.19538070715364378,0.11000241510048382,0.11667415211291639
SNAP-authorized Stores per 1000 people (2016) min_max_normalized,0.09932612374352662,0.04227311177619311,0.10078992977820972,0.04508196426505902,0.11692953575116358,0.037035694250443146
Farmers Markets per 1000 people (2016) min_max_normalized,0.02262237503244123,0.021425521757678586,0.021278594443047937,0.022258049293611637,0.016726879042528144,0.026909147924459347
Farmer Markets with SNAP per 1000 people (2016) min_max_normalized,0.013809482237742577,0.01975184730785458,0.013062445829253944,0.01866892323910009,0.016107117051632397,0.01978526216295018
Farmer Markets with WIC per 1000 people (2016) min_max_normalized,0.005211165297059631,0.008182364740808629,0.005039462585995488,0.007919784136722192,0.008168415050034903,0.01570614631472653
Farmer Markets with WIC Cash per 1000 people (2016) min_max_normalized,0.0053885839996352354,0.011610114257664969,0.006793571228251257,0.014338104598403557,0.014121675940384956,0.03488580393206944
Farmer Markets with SFMNP per 1000 people (2016) min_max_normalized,0.004917115297680295,0.007905704903241252,0.0048495723240142355,0.007427759690892314,0.01075850037997055,0.017550693805320077
Employment to population ratio percentage min_max_normalized,0.7114315260641805,0.0737458785884833,0.6429284206486275,0.07597553617467,0.7271042789005936,0.06508205670266395
Indeed job count normalized min_max_normalized,0.10825040168093109,0.08956016598961687,0.05790518946695429,0.06849606853203981,0.4219326126013693,0.12496793948241015
Craigslist affordable house count normalized min_max_normalized,0.010655531493806242,0.020829032720849593,0.010915620883613714,0.020454999835224752,0.0017906771210947196,0.007416509252641026
Number of people below the poverty level normalized min_max_normalized,0.11598666079174527,0.05682809591590112,0.22389068389122166,0.08037320853609498,0.07194588417061783,0.040183622882899325
Number of people with a bachelors degree or higher normalized min_max_normalized,0.34293616203070937,0.13260927753997326,0.20907798583007037,0.09323180891370353,0.4646723010388081,0.11245754171055125
